"kurtas/aks/aks-women-white--peach-coloured-chanderi-silk-printed-a-line-kurta/2111418/buy","White and peach-coloured printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, attached lining","Chanderi silk  Dry-clean"
"kurtas/aks/aks-women-green-solid-anarkali-kurta/2250066/buy","Green solid Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-orange--off-white-printed-straight-kurta/2250040/buy","Orange and off-white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-blue--rust-red-printed-a-line-kurta/1945108/buy","Blue and rust red printed A-line kurta, has a round neck, sleeveless, drawstring fastening, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-coffee-brown-solid-straight-kurta/2448878/buy","Coffee brown solid straight kurta with printed detail, has a shirt collar, three-quarter sleeves, a straight hem, and side slits","CottonMachine-wash cold"
"kurtas/aks/aks-women-blue--white-printed-anarkali-kurta/1975422/buy","Blue and white printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-blue--white-printed-anarkali-kurta/2463737/buy","Navy Blue and white printed Anarkali kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Hand-wash"
"kurtas/aks/aks-women-black--rust-printed-anarkali-kurta/2127696/buy","Black and rust printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-green-printed-off-shoulder-straight-kurta/1945081/buy","Green printed straight kurta, has an off-shoulder, sleeveless, straight hem, side slits","Cotton Machine-wash cold"
"kurtas/aks/aks-women-beige--red-printed-anarkali-kurta/2127697/buy","Beige and red printed anarkali kurta, has a V-neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-cream-coloured--maroon-printed-straight-kurta/2250063/buy","Cream-coloured and maroon printed straight kurta, has a notched round neck with tassel detail, short sleeves, a straight hem, and side slits","CottonMachine-wash cold"
"kurtas/aks/aks-women-yellow--red-printed-anarkali-kurta/2249988/buy","Yellow, red and green printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-blue--yellow-printed-a-line-kurta/2448951/buy","Blue and yellow printed A-line kurta, has a mandarin collar, short sleeves, flared hem, multiple slits","RayonMachine-wash"
"kurtas/aks/aks-women-navy-blue-straight-kurta/2167399/buy","Navy blue straight kurta with embroidered detail, has a notched round neck, three-quarter sleeves, straight hem, side slits","Cotton and silk blendMachine-wash"
"kurtas/aks/aks-women-grey--white-printed-a-line-kurta/2493397/buy","Grey and white printed A-line kurta, has a mandarin collar, short sleeves, flared hem, multiple slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-olive-green--blue-printed-anarkali-kurta/2262323/buy","Olive green and blue printed Anarkali kurta, has a round neck, long sleeves, and a flared hem","RayonMachine-wash cold"
"kurtas/aks/aks-women-maroon--green-printed-anarkali-kurta/2111400/buy","Maroon and green printed Anarkali kurta, has a V-neck, short sleeves, curved hem","Cotton  Dry-clean"
"kurtas/aks/aks-women-white--blue-printed-straight-kurta/1945075/buy","White and blue printed straight kurta, has a round neck, sleeveless, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-yellow--green-printed-layered-a-line-kurta/2493387/buy","Yellow, green and white printed layered A-line kurta, has a round neck, sleeveless, tie-up detail on the sides, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-mustard-yellow-kalamkari-print-anarkali-kurta/2095443/buy","Mustard yellow kalamkari print Anarkali kurta, has a round neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-hand-block-print-a-line-kurta/2167358/buy","Navy hand block print A-line kurta with embroidered detail, has a mandarin collar, short sleeves, flared hem, no slits","Silk  Dry-clean"
"kurtas/aks/aks-women-maroon-printed-anarkali-kurta/2250030/buy","Maroon and mustard yellow printed Anarkali kurta, has a round neck, short sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-pink-solid-a-line-kurta/1945067/buy","Pink solid A-line kurta with embroidered detail, has a high neck, sleeveless, flared hem","Viscose  Machine-wash"
"kurtas/aks/aks-women-navy-blue--red-printed-straight-kurta/2493385/buy","Navy blue, red and off-white printed straight kurta with crochet detail, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-red--white-printed-a-line-kurta/1945100/buy","Red and white striped A-line kurta, has a round neck, three-quarter bell sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-off-white--blue-embroidered-anarkali-kurta/2463725/buy","Off-white and blue embroidered Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Dry-clean"
"kurtas/aks/aks-women-olive-green-solid-straight-kurta-with-tassels/2448942/buy","Olive green solid straight kurta with tassels, has a round neck, short sleeves, straight hem, side slits","ViscoseMachine-wash"
"kurtas/aks/aks-women-mustard-yellow--maroon-printed-straight-kurta/2250064/buy","Mustard yellow and maroon printed straight kurta, has a round neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-white--blue-hand-block-print-anarkali-kurta/2463726/buy","White and blue woven design Anarkali kurta with woven design, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Dry-clean"
"kurtas/aks/aks-women-navy-printed-straight-kurta/2493383/buy","Navy and beige printed straight kurta, has a round neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy--pink-printed-angrakha-anarkali-kurta/2493399/buy","Navy and pink printed angrakha Anarkali kurta, has a V-neck, three-quarter sleeves, flared hem, front slit","Cotton Machine-wash"
"kurtas/aks/aks-women-maroon--blue-printed-a-line-kurta/2250024/buy","Maroon and blue printed A-line kurta, has a round neck, short sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-brown-dyed-a-line-kurta/2250052/buy","Brown dyed straight kurta, has a shirt collar, short sleeves, straight hem, and a front slit","Viscose Rayon Dry-clean"
"kurtas/aks/aks-maroon--blue-printed-anarkali-kurta/2082412/buy","Maroon and blue printed Anarkali kurta, has a round neck, three-quarter sleeve, flared hem","Cotton Machine-wash"
"kurtas/aks/aks-women-mustard--rust-printed-anarkali-kurta/1951418/buy","Mustard yellow and rust red printed Anarkali kurta, has a round neck, short sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-black-woven-design-a-line-kurta/2095572/buy","Black woven design A-line kurta, has a mandarin collar, short sleeves, flared hem, front slit","Cotton  Machine-wash"
